NameSup,CueSup,TestSup,AnswerSup,NameSub,CueSub,TestSub,AnswerSub,SupraTrials.thisRepN,SupraTrials.thisTrialN,SupraTrials.thisN,SupraTrials.thisIndex,SupraTests.thisRepN,SupraTests.thisTrialN,SupraTests.thisN,SupraTests.thisIndex,DistractorTrials.thisRepN,DistractorTrials.thisTrialN,DistractorTrials.thisN,DistractorTrials.thisIndex,SubliTrials.thisRepN,SubliTrials.thisTrialN,SubliTrials.thisN,SubliTrials.thisIndex,SubliTests.thisRepN,SubliTests.thisTrialN,SubliTests.thisN,SubliTests.thisIndex,polygon1.started,polygon1.stopped,welcome.started,welcome.stopped,polygon.started,polygon.stopped,ForenameSup.started,ForenameSup.stopped,CueSup1.started,CueSup1.stopped,BlankSup.started,BlankSup.stopped,polygon_2.started,polygon_2.stopped,dis1.started,dis1.stopped,polygon_3.started,polygon_3.stopped,instruction.started,instruction.stopped,dis1key.keys,dis1key.rt,dis1key.started,dis1key.stopped,polygon_4.started,polygon_4.stopped,suptest.started,suptest.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,distractor1.started,distractor1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_7.started,polygon_7.stopped,textphase2.started,textphase2.stopped,polygon_6.started,polygon_6.stopped,ForenameSub.started,ForenameSub.stopped,Mask1.started,Mask1.stopped,Cue.started,Cue.stopped,Mask2.started,Mask2.stopped,blank1.started,blank1.stopped,polygon_8.started,polygon_8.stopped,SubTest.started,SubTest.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,age,sex,occupation,date,expName,psychopyVersion,frameRate,
,,Simon,n,,,,,,,,,0,22,22,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.3451911000011,None,166.3451911000011,None,o,0,0.06329400000686292,166.3451911000011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Shawn,o,,,,,,,,,0,23,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.43823550001252,None,166.43823550001252,None,n,0,0.10820429999148473,166.43823550001252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Tammy,o,,,,,,,,,0,24,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.5860859000095,None,166.5860859000095,None,o,1,0.07934659998863935,166.5860859000095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Molly,n,,,,,,,,,0,25,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.71022770000855,None,166.71022770000855,None,n,1,0.09715950000099838,166.71022770000855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Marty,o,,,,,,,,,0,26,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.85753040001146,None,166.85753040001146,None,o,1,0.061789600003976375,166.85753040001146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Karla,o,,,,,,,,,0,27,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.96091420001176,None,166.96091420001176,None,n,0,0.0803190999868093,166.96091420001176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Jirah,n,,,,,,,,,0,28,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.09789240000828,None,167.09789240000828,None,o,0,0.07294430000183638,167.09789240000828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Stacy,o,,,,,,,,,0,29,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.21138970000902,None,167.21138970000902,None,n,0,0.09797430000617169,167.21138970000902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Peter,n,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.36141890000727,None,167.36141890000727,None,o,0,0.05415260000154376,167.36141890000727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Walter,o,,,,,,,,,0,31,31,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.45290709999972,None,167.45290709999972,None,n,0,0.09411410000757314,167.45290709999972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
